,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
580,Biltine,TD,85.46,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
589,Dingle,PH,78.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
598,Jérémie,HT,82.09,broken clouds,18.65,-74.1167,Auberge’Inn
599,Oussouye,SN,82.49,overcast clouds,12.485,-16.5469,Auberge du Routard
601,Miramar,US,83.01,scattered clouds,25.9873,-80.2323,Stadium Hotel
603,Cravo Norte,CO,83.03,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
610,Dekar,BW,76.1,clear sky,-21.5333,21.9333,
613,Chunhuhub,MX,81.93,overcast clouds,19.55,-88.6833,
623,Bandarbeyla,SO,76.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
624,Qurayyat,SA,75.38,clear sky,31.3318,37.3428,Resorts Kandel
627,Fare,PF,77.59,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
629,Matara,LK,77.7,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
631,Aswān,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
634,Brooks,CA,78.78,scattered clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
644,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
647,San Jose,US,84.92,clear sky,37.3394,-121.895,The Westin San Jose
650,Marília,BR,78.67,clear sky,-22.2139,-49.9458,Hotel Tenda
654,Vega de Alatorre,MX,79.97,broken clouds,20.0333,-96.6333,Hotel D Luxe
658,‘Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
666,Carutapera,BR,78.87,scattered clouds,-1.195,-46.02,Lidera
670,Altar,MX,89.6,clear sky,30.7,-111.8167,Hotel Maria Elena
674,Cosalá,MX,82.63,few clouds,24.4125,-106.6908,Hotel Real del Conde
675,El Estor,GT,79.95,broken clouds,15.5333,-89.35,Chalet Castillo
677,Seminole,US,75.56,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
