City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rio Gallegos,AR,2022-09-27 00:00:59,-51.6226,-69.2181,42.12,67,28,21.65
68,Okhotsk,RU,2022-09-27 00:01:03,59.3833,143.3,42.75,82,100,15.93
69,Chokurdakh,RU,2022-09-27 00:01:07,70.6333,147.9167,29.05,77,80,15.26
70,Sibolga,ID,2022-09-27 00:01:09,1.7427,98.7792,76.35,81,77,2.35
71,Dudinka,RU,2022-09-27 00:01:12,69.4058,86.1778,24.3,90,92,14.03
72,Narsaq,GL,2022-09-27 00:01:15,60.9167,-46.05,46.62,92,100,7.34
73,Hobyo,SO,2022-09-27 00:01:18,5.3505,48.5268,76.15,90,50,17.94
74,Zhigansk,RU,2022-09-27 00:01:21,66.7697,123.3711,31.44,94,100,8.75
75,Mus,TR,2022-09-27 00:01:24,39.0,41.75,56.44,25,0,4.92
76,Lapeer,US,2022-09-27 00:00:57,43.0514,-83.3188,54.14,93,99,17.2
77,Jamestown,US,2022-09-26 23:58:45,42.097,-79.2353,52.02,76,100,14.97
78,Kavieng,PG,2022-09-27 00:01:31,-2.5744,150.7967,85.14,65,79,12.8
79,Yuzhno-Kurilsk,RU,2022-09-27 00:01:34,44.0306,145.8556,64.4,78,99,3.42
80,Castro,BR,2022-09-27 00:01:37,-24.7911,-50.0119,56.14,96,97,4.18
81,Touros,BR,2022-09-27 00:01:40,-5.1989,-35.4608,76.66,78,26,15.93
82,Tasiilaq,GL,2022-09-27 00:01:43,65.6145,-37.6368,41.16,91,100,4.14
83,Astana,KZ,2022-09-27 00:01:47,51.1801,71.446,51.75,54,40,15.66
84,Aliwal North,ZA,2022-09-27 00:01:49,-30.6937,26.7114,59.02,80,76,4.38
85,Bandar-E Lengeh,IR,2022-09-27 00:01:52,26.5579,54.8807,84.78,75,0,16.11
86,Talnakh,RU,2022-09-27 00:01:54,69.4865,88.3972,21.81,85,70,3.06
87,Darhan,MN,2022-09-27 00:01:58,49.4867,105.9228,49.53,52,32,6.4
88,Chapada Dos Guimaraes,BR,2022-09-27 00:00:51,-15.4606,-55.7497,71.78,75,92,6.15
89,Puerto Ayora,EC,2022-09-27 00:02:02,-0.7393,-90.3518,66.54,94,97,8.99
90,Xinyu,CN,2022-09-27 00:03:07,27.8043,114.9334,76.41,55,9,6.04
91,Tahe,CN,2022-09-27 00:03:14,52.3333,124.7333,40.08,62,96,5.57
92,Dongsheng,CN,2022-09-27 00:03:21,39.8161,109.9776,59.76,41,97,7.65
93,Fare,PF,2022-09-27 00:03:27,-16.7,-151.0167,78.31,72,4,12.86
94,Sarangani,PH,2022-09-27 00:03:33,5.4033,125.4636,83.84,68,99,3.87
95,Marzuq,YE,2022-09-27 00:03:46,14.4,46.4667,74.95,53,12,3.42
96,Rudbar,AF,2022-09-27 00:03:53,30.15,62.6,70.03,42,0,10.02
97,Constitucion,CL,2022-09-27 00:03:59,-35.3333,-72.4167,51.35,87,92,8.52
98,Ahipara,NZ,2022-09-27 00:04:06,-35.1667,173.1667,64.45,60,64,13.65
99,Popova,RU,2022-09-27 00:04:12,42.9603,131.7228,61.47,80,0,12.82
100,Airai,TL,2022-09-27 00:04:20,-8.9266,125.4092,72.95,42,35,0.94
101,Acapulco,MX,2022-09-27 00:00:17,16.8634,-99.8901,80.71,82,81,3.27
102,Margate,GB,2022-09-27 00:01:45,51.3813,1.3862,52.7,76,48,8.99
103,Ingham,US,2022-09-27 00:04:40,42.6,-84.3833,53.87,92,100,17.65
104,Norman Wells,CA,2022-09-27 00:04:47,65.282,-126.8329,46.72,69,100,10.38
105,Ust-Nera,RU,2022-09-27 00:04:54,64.5667,143.2,30.07,89,94,4.36
106,Georgetown,MY,2022-09-27 00:00:28,5.4112,100.3354,80.89,84,20,0.0
107,Cabo San Lucas,MX,2022-09-27 00:05:09,22.8909,-109.9124,90.7,58,0,8.05
108,Bosaso,SO,2022-09-27 00:05:16,11.2842,49.1816,86.4,56,75,5.3
109,Pattaya,TH,2022-09-27 00:05:24,12.9333,100.8833,83.14,81,99,3.27
110,Alofi,NU,2022-09-27 00:05:31,-19.0595,-169.9187,73.56,86,100,2.59
111,Blyth,GB,2022-09-27 00:05:38,55.1271,-1.5086,42.98,88,0,4.61
112,Tambilil,PH,2022-09-27 00:05:45,5.9622,124.6697,84.81,65,63,1.36
113,Palana,RU,2022-09-27 00:05:53,59.1167,159.9667,42.48,55,0,4.76
114,Andenes,NO,2022-09-27 00:06:05,69.3143,16.1194,49.98,71,100,17.27
115,Kitimat,CA,2022-09-27 00:06:09,54.0524,-128.6534,69.66,76,100,2.84
116,Chuy,UY,2022-09-27 00:04:34,-33.6971,-53.4616,56.98,95,10,4.18
117,Rorvik,NO,2022-09-27 00:06:14,64.8621,11.2373,55.51,62,20,12.66
118,Dambovicioara,RO,2022-09-27 00:06:16,45.45,25.2333,48.69,97,100,2.19
119,Brae,GB,2022-09-27 00:06:19,60.3964,-1.353,47.3,82,100,16.98
120,Ribeira Grande,PT,2022-09-27 00:06:22,38.5167,-28.7,70.81,70,100,13.22
121,Hinton,CA,2022-09-27 00:01:58,53.4001,-117.5857,70.14,50,96,3.89
122,Saint-Augustin,CA,2022-09-27 00:06:27,51.226,-58.6502,55.08,99,100,11.21
123,Bull Savanna,JM,2022-09-27 00:06:29,17.8868,-77.5902,77.59,87,99,11.32
124,Grenada,ES,2022-09-27 00:06:32,37.1882,-3.6067,57.9,56,0,1.01
125,Salalah,OM,2022-09-27 00:06:34,17.0151,54.0924,78.89,94,75,5.75
126,New Norfolk,AU,2022-09-27 00:06:37,-42.7826,147.0587,60.71,79,100,1.99
127,Pevek,RU,2022-09-27 00:06:39,69.7008,170.3133,30.81,70,47,2.55
128,Chicama,PE,2022-09-27 00:06:42,-7.8447,-79.1469,57.74,82,62,7.61
129,Bengkulu,ID,2022-09-27 00:06:46,-3.8004,102.2655,76.37,86,78,4.52
130,Avarua,CK,2022-09-27 00:06:48,-21.2078,-159.775,77.05,94,75,12.66
131,Codrington,AU,2022-09-27 00:06:51,-38.2667,141.9667,53.76,93,100,18.3
132,Mawlamyine,MM,2022-09-27 00:06:54,16.4914,97.6256,74.97,94,96,3.65
133,Geraldton,AU,2022-09-27 00:03:16,-28.7667,114.6,54.01,87,0,4.61
134,Seoul,KR,2022-09-27 00:03:24,37.5683,126.9778,62.04,45,49,2.82
135,Batagay,RU,2022-09-27 00:07:04,67.6333,134.6333,29.84,83,100,5.19
136,Quelimane,MZ,2022-09-27 00:07:06,-17.8786,36.8883,76.8,66,30,5.84
137,Stromness,GB,2022-09-27 00:08:19,58.965,-3.296,45.88,87,100,30.0
138,Hermanus,ZA,2022-09-27 00:08:28,-34.4187,19.2345,47.8,84,49,4.97
139,Bonavista,CA,2022-09-27 00:08:36,48.6499,-53.1147,59.67,88,100,18.1
140,Vao,NC,2022-09-27 00:08:45,-22.6667,167.4833,72.68,78,0,4.05
141,Olga,RU,2022-09-27 00:08:53,43.7444,135.2892,66.16,63,0,4.03
142,Grand Gaube,MU,2022-09-27 00:04:25,-20.0064,57.6608,69.39,67,88,5.01
143,Tuatapere,NZ,2022-09-27 00:09:17,-46.1333,167.6833,54.75,92,100,2.93
144,Pinega,RU,2022-09-27 00:09:27,64.7001,43.3936,32.38,88,25,4.61
145,Severo-Kurilsk,RU,2022-09-27 00:09:35,50.6789,156.125,51.55,76,18,5.7
146,Mareeba,AU,2022-09-27 00:09:44,-17.0,145.4333,81.48,68,4,7.47
147,Redmond,US,2022-09-27 00:05:37,47.674,-122.1215,88.3,44,10,1.99
148,Klaksvik,FO,2022-09-27 00:06:16,62.2266,-6.589,43.72,90,100,39.97
149,Tuktoyaktuk,CA,2022-09-27 00:10:16,69.4541,-133.0374,33.1,70,90,15.32
150,Vestmannaeyjar,IS,2022-09-27 00:10:24,63.4427,-20.2734,42.12,55,65,18.79
151,Gamba,GA,2022-09-27 00:10:32,-2.65,10.0,73.81,91,100,4.61
152,San Cristobal,VE,2022-09-27 00:10:40,7.7669,-72.225,68.49,91,70,2.71
153,Shenjiamen,CN,2022-09-27 00:10:47,29.9576,122.298,73.47,79,92,12.46
154,Torbay,CA,2022-09-27 00:10:53,47.6666,-52.7314,61.27,93,98,1.99
155,Chumikan,RU,2022-09-27 00:10:55,54.7183,135.315,43.34,76,93,23.85
156,Clyde River,CA,2022-09-27 00:10:58,70.4692,-68.5914,33.44,87,100,1.34
157,San Lawrenz,MT,2022-09-27 00:11:01,36.0553,14.204,75.85,79,69,3.0
158,Cape Town,ZA,2022-09-27 00:08:13,-33.9258,18.4232,60.39,73,7,1.99
159,Aleksandrov Gay,RU,2022-09-27 00:11:08,50.147,48.5704,51.37,58,88,5.75
160,Camana,PE,2022-09-27 00:11:10,-16.6228,-72.7111,60.62,79,22,7.11
161,Walvis Bay,NA,2022-09-27 00:11:13,-22.9575,14.5053,55.09,76,2,3.44
162,Esperance,AU,2022-09-27 00:07:05,-33.8667,121.9,55.29,75,0,7.36
163,Chino Valley,US,2022-09-27 00:07:25,34.7575,-112.4538,84.72,32,0,8.05
164,Daru,PG,2022-09-27 00:10:07,-9.0763,143.2092,82.72,80,92,11.88
165,Isla Mujeres,MX,2022-09-27 00:11:23,21.2311,-86.731,78.85,81,100,15.23
166,Mount Gambier,AU,2022-09-27 00:11:28,-37.8333,140.7667,56.16,63,45,11.61
167,Pimentel,PE,2022-09-27 00:11:30,-6.8367,-79.9342,62.29,83,76,16.24
168,Bulawayo,ZW,2022-09-27 00:11:33,-20.15,28.5833,68.09,30,10,6.51
169,Tulum,MX,2022-09-27 00:11:35,20.2167,-87.4667,81.68,71,84,7.16
170,Vila Franca Do Campo,PT,2022-09-27 00:09:49,37.7167,-25.4333,68.2,76,100,9.4
171,Saucillo,MX,2022-09-27 00:11:40,28.0167,-105.2833,78.48,42,70,20.22
172,Leh,IN,2022-09-27 00:11:43,34.1667,77.5833,44.33,54,0,4.25
173,Avera,US,2022-09-27 00:11:45,33.194,-82.5271,74.71,39,22,9.04
174,Bereda,ES,2022-09-27 00:11:48,43.2686,-7.5406,54.41,100,64,2.06
175,Saint-Denis,FR,2022-09-27 00:11:50,48.9167,2.3333,52.29,86,0,10.36
176,Yumen,CN,2022-09-27 00:11:53,40.2833,97.2,62.29,22,92,8.34
177,Umea,SE,2022-09-27 00:11:55,63.8284,20.2597,48.13,93,100,6.91
178,Sao Raimundo Das Mangabeiras,BR,2022-09-27 00:11:58,-7.0219,-45.4811,82.06,40,3,4.03
179,Flinders,AU,2022-09-27 00:12:01,-34.5833,150.8552,64.18,82,94,5.99
180,Mardan,PK,2022-09-27 00:12:06,34.2019,72.0525,74.37,73,0,2.44
181,Mantua,IT,2022-09-27 00:09:37,45.1667,10.7833,60.04,86,91,1.01
182,Sept-Iles,CA,2022-09-27 00:13:13,50.2001,-66.3821,51.06,98,100,4.61
183,Pihuamo,MX,2022-09-27 00:13:16,19.2499,-103.3828,73.29,95,56,1.86
184,Machiques,VE,2022-09-27 00:13:23,10.0644,-72.545,78.96,83,85,2.1
185,Hilo,US,2022-09-27 00:13:25,19.7297,-155.09,88.29,67,40,11.5
186,Ancud,CL,2022-09-27 00:08:48,-41.8697,-73.8203,43.23,84,27,6.67
